old_case_number,new_case_number,nickname
1,1,OLL 1
2,2,OLL 2
3,3,OLL 3
4,4,OLL 4
5,19,OLL 19
6,18,OLL 18
7,17,OLL 17
8,55,OLL 55
9,52,OLL 52
10,51,OLL 51
11,56,OLL 56
12,48,OLL 48
13,47,OLL 47
14,49,OLL 49
15,50,OLL 50
16,53,OLL 53
17,54,OLL 54
18,9,OLL 9
19,10,OLL 10
20,6,OLL 6
21,5,OLL 5
22,7,OLL 7
23,8,OLL 8
24,12,OLL 12
25,11,OLL 11
26,14,OLL 14
27,13,OLL 13
28,16,OLL 16
29,15,OLL 15
30,20,OLL 20
31,35,OLL 35
32,37,OLL 37
33,38,OLL 38
34,36,OLL 36
35,32,OLL 32
36,31,OLL 31
37,44,OLL 44
38,43,OLL 43
39,29,OLL 29
40,30,OLL 30
41,41,OLL 41
42,42,OLL 42
43,40,OLL 40
44,39,OLL 39
45,46,OLL 46
46,34,OLL 34
47,45,OLL 45
48,33,OLL 33
49,22,OLL 22
50,21,OLL 21
51,27,OLL 27
52,26,OLL 26
53,57,OLL 57
54,28,OLL 28
55,23,OLL 23
56,24,OLL 24
57,25,OLL 25
